Id,Expected,Rooms,SqrMeters,Floor,Location,Description
15,299000,3,58.2,1,Poznań Rataje ul. Os.Powstań Narodowych,Polecamy na sprzedaż b.ładne mieszkanie na I piętrze w niskim bloku na os. Powstań Narodowych. 3 niezależne pokoje kuchnia z oknem łazienka i WC osobno. Na podłogach w pokojach mozaika parkietowa okna PCV. Z dużego pokoju wyjście na loggie....
16,579000,4,112,1,Poznań Podolany,OFERTA BEZPOŚREDNIA KUPUJĄCY NIE PŁACI PROWIZJI Polecam na sprzedaż mieszkanie o powierzchni 111 36 mkw położone na parterze I piętrze i poddaszu będzie się składać z pokoju dziennego kuchni trzech pokoi wc łazienki pomieszczenia...
17,323849,2,54.7,4,Poznań Grunwald ul. Kamiennogórska,Mieszkać wśród spokojnej zieleni czy dać się porwać rytmowi miasta? Trudny wybór ale nie musi Cię dotyczyć jeśli zamieszkasz na Młodym Grunwaldzie! Poznaj miejsce dzięki któremu skorzystasz z wygód miasta i ciszy Lasku Marcelińskiego! Zrób...
18,375000,4,74,2,Poznań Piątkowo/Morasko ul. Romana Drewsa,Mieszkanie o powierzchni 74 5m2 Liczba pokoi: 4 Rok budowy: 1994 Stan prawny: spółdzielcze własnościowe prawo do lokalu Piętro: 1 Materiał: cegła Zapraszam do zapoznania się z ofertą sprzedaży czteropokojowego mieszkania położonego w...
19,289000,5,99.76,1,Poznań Kameralne Osiedle Domów Energooszczędnyc ul. Nowe Osiedle Tygrysie Dachowa Ul.Nowina,Skorzystaj z dopłaty MDM! Symulacja wysokości dopłat progmau Mieszkanie dla Młodych dla Osiedla Tygrysiego! Kwota kredytu 300 000 00 na okres 30 lat Singiel/Para/Małżeństwo bez dzieci dopłata 22 926 00 rata miesięczna kredytu 1 244 00 zł...
20,309000,3,65,4,Poznań Grunwald ul. Raszkowska,***OFERTA LICENCJONOWANEGO POŚREDNIKA - GWARANCJA BEZPIECZNEJ TRANSAKCJI*** Polecam na sprzedaż przestronne mieszkanie na czwartym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Grunwald. Ze względu na ładne skosy w kuchni i jednym pokoju...
21,144000,1,26,1,Poznań Wilda Łazarz Grunwald Centrum Hetmańs ul. Hetmańska,OKAZJA!!! Przedmiotem sprzedaży jest kawalerka położona przy ulicy Hetmańskiej na Wildzie w Poznaniu. Lokal usytuowany jest na parterze w wysokim bloku. Na 26m2 składa się salon z aneksem kuchennym i łazienka. Okna PCV. Na podłodze panele....
22,279000,2,48,2,Poznań Łazarz ul. Chociszewskiego,Na sprzedaż dwupokojowe mieszkanie 2 piętro w kamienicy na Łazarzu. Powierzchnia lokalu 48 2m2 dwa pokoje przestronny korytarz osobną kuchnię łazienkę i balkon oraz piwnica. W pokojach na podłogach ładny parkiet w oknach rolety. Cicha spokojna...
23,255000,1,37,3,Poznań Stare Miasto ul. Chwaliszewo,Polecam na sprzedaż 1 pokojowe mieszkanie o dobrym standardzie (37m2) Własnościowe z księgą wieczystą. Standard i wyposażenie: Umeblowanie takie jak na zdjęciach zawarte jest w cenie mieszkania. Możliwość oglądania od zaraz kupna od 1...
24,385000,2,61.2,1,Poznań Naramowice ul. Naramowicka,DOSTĘPNE TYLKO W HOME BROKER! OFERTA NA WYŁĄCZNOŚĆ! Przytulne mieszkanie na parterze w bloku mieszkalnym w Poznaniu w dzielnicy Naramowice. Dwa pokoje okna wychodzące na wschód zachód; widok na inne budynki. Standard wykończenia: Ściany -...
25,295000,2,61,3,Poznań Stare Miasto ul. Rybaki Półwiejska Strzelecka Mikołaja Kop,Atrakcyjne mieszkanie o powierzchni 58 m2 przy ulicy Rybaki w Centrum ! Mieszkanie usytuowane w kamienicy na trzecim piętrze . Składa się z dwóch pokoi (salonu i sypialni) łazienki z wc i kuchni . Całość wyłożona panelami łazienka - płytki . W...
26,270000,2,69,3,Poznań Grunwald ul. Romualda Traugutta,Polecam na sprzedaż przestronne 2-pokojowe mieszkanie o powierzchni 69m2 przy ul Romualda Traugutta. Lokal składa się z przestronnego pokoju (35m2) oraz mniejszego (17m2) przedpokoju osobnej kuchni oraz łazienki. Mieszkanie jest w pełni...
27,295068,3,49.46,2,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
28,285000,2,50,1,Poznań Piątkowo Naramowice Winogrady Morask ul. Sobieskiego,Oferuję na sprzedaż mieszkanie dwupokojowe na os. Sobieskiego na Piątkowie. Mieszkanie położone na wysokim paterze w niskim 3-piętrowym bloku. Mieszkanie składa się z dwóch pokoi oddzielnej kuchni łazienki z oddzielnym WC. Nowe drzwi...
29,233000,1,31,3,Poznań Piątkowo Stare Miasto ul. Os.Batorego Niski Blok,Kawalerka 33 00m2 233.000zł cena do negocjacji!!! Zapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego w dzielnicy Stare Miasto - Piątkowo w bloku 3 piętrowym na 3-cim piętrze. Mieszkanie o powierzchni 33 00m2 obejmuje:jeden duży...
30,320000,3,59.93,1,Poznań Grunwald ul. Ząbkowicka,Polecam na sprzedaż klimatyczne mieszkanie wraz z miejscem postojowym. Przedmiotem sprzedaży jest duże przestronne jasne 3-pokojowe mieszkanie o powierzchni 59 93 m2 usytuowane na 1 piętrze nowoczesnego budynku z 2000 roku.Nieruchomość...
31,235000,2,46,1,Poznań Rataje ul. Os. Rusa,Na sprzedaż ustawne mieszkanie 2-pokojowe w Poznaniu na os. Rusa. Mieszkanie o pow. 45 50 m2 znajduje się na wysokim parterze w 10-piętrowym bloku. Układ mieszkanie niezależny. Dwa oddzielne pokoje (pow 18 i 10 40 m2) jasna kuchnia (8 m2) ...
32,267379,2,46.42,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
33,499000,3,90,3,Poznań Strzeszyn Jeżyce ul. Fieldorfa Literacka,Polecam ATRAKCYJNE KOMFORTOWE mieszkanie 2 poziomowe o łącznej całkowitej powierzchni ok. 90m2 na os. Strzeszyn Grecki. Lokal usytuowany jest na 3 i 4 piętrze w nowym budynku z 2008 roku. Układ pomieszczeń: pierwszy poziom zajmuje salon z...
34,167999,1,37,1,Poznań Wilda ul. Dezyderego Chłapowskiego,Polecam na sprzedaż kawalerkę w rewitalizowanej kamienicy w centrum Poznania! Mieszkanie mieści się na wysokim parterze w kamienicy mieszkalnej. Obecnie na powierzchnię 37m2 składa się jeden duży pokój oddzielna kuchnia i łazienka oraz...
35,300000,4,70,1,Poznań ul. Śródka Zawady Małachowskiego Tomickieg,Biuro Nieruchomości Credo poleca na sprzedaż mieszkanie 3-pokojowe o powierzchni 69 71 m2 usytuowane na parterze w niskim bloku z cegły z 1956 roku zlokalizowane na ul. Małachowskiego Śródka. Do mieszkania przynależy piwnica. Blok po...
36,319000,2,55,1,Poznań Winiary ul. Winiary,Na sprzedaż mieszkanie na Winiarach (okolica ulicy Piątkowskiej) w nowszym budynku o ciekawej architekturze. Mieszkanie znajduje się na pierwszym piętrze posiada balkon. Powierzchnię 55 m2 stanowią: pokój dzienny (19 4 m2) sypialnia (12 4 m2) z...
37,266307,2,47.47,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
38,417000,3,55,5,Poznań Rataje ul. Katowicka Rataje Malta Nowe Miasto Rataj,OFERTA LICENCJONOWANEGO POŚREDNIKA - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Polecam na sprzedaż gotowe do wprowadzenia piękne trzy pokojowe mieszkanie o powierzchni 55 m2 na ostatnim 5 piętrze bloku przy ulicy Katowickiej w...
39,269000,1,36,2,Poznań Winogrady Naramowice Piątkowo Sołacz Cent ul. Serbska - Mieszkanie Do Wejścia Polecam!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu kawalerkę położoną na Winogradach w budynku Atanera ( ul. Naramowicka / Serbska ). Na 36 m2 składa się ustawny pokój...
40,183000,1,33.13,4,Poznań Stare Miasto ul. Piaskowa,BT licencjonowany pośrednik gwarancją BEZPIECZNEJ TRANSAKCJI Na sprzedaż 2-pokojowe poddaszowe mieszkanie o pow. użytkowej 33 13 m2 (po podłodze: 36 45 m2) zlokalizowane w zrewitalizowanej kamienicy z 1905 roku przy skrzyżowaniu ul. Garbary /...
41,290000,3,54,3,Poznań Stare Miasto ul. Os. Powstańców Warszawy,Polecam przytulne 3-pokojowe mieszkanie o powierzchni 54m2 położone na 3 piętrze niskiego bloku na osiedlu Powstańców Warszawy. Mieszkanie w dobrej lokalizacji blisko PST i przystanek autobusowy. W poblizu CH PESTKA Kaufland Makro sklepiki...
42,199000,1,25.04,4,Poznań Wilda ul. Topolowa,Szanowni Państwo zapraszamy do zapoznania się z ofertą sprzedaży mieszkania w ścisłym centrum Poznania! Lokale znajdują się w apartamentowcu z 2002 roku przy ulicy Topolowej tuż przy Parku Drwęskich. Budynek zlokalizowany 500 metrów od...
43,458298,2,31.6,4,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
44,255000,1,33,1,Poznań Jeżyce,Oferta nr 15/MN/37 W pełni umeblowana i wyposażona w wysokim standardzie kawalerka blisko parku Sołackiego! Świetne miejsce dla studenta pracownika Uniwersytetu Przyrodniczego i nie tylko... Mieszkanie w tzw. plombie z 1995r na I piętrze ...
45,345000,3,84,1,Poznań Winogrady Stare Miasto ul. Powstańców Warszawy,*** KUPUJ BEZPIECZNIE *** OFERTA LICENCJONOWANEGO POŚREDNIKA TO GWARANCJA BEZPIECZNEJ TRANSAKCJI Polecam na sprzedaż trzypokojowe mieszkanie w rewelacyjnej lokalizacji na Os. Powstańców Warszawy. Osiedle monitorowane bardzo zielone spokojne i...
46,449000,4,108,3,Poznań Grunwald ul. Juliusza Kossaka,Rozkładowe przytulne mieszkanie na trzecim piętrze w kamienicy w Poznaniu w dzielnicy Grunwald. Cztery pokoje okna wychodzące na północ południe wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi -...
47,420000,3,74.6,1,Poznań Górczyn ul. Kopanina,Przestronne mieszkanie na parterze w domu mieszkalnym w Poznaniu w dzielnicy Górczyn. Trzy pokoje z aneksem kuchennym okna wychodzące na północ południe wschód zachód; widok na park. Standard wykończenia: Ściany - gładź gipsowa; Podłogi -...
48,235000,2,38,9,Poznań Winogrady ul. Os. Kosmonautów,Przytulne mieszkanie na dziewiątym piętrze w wieżowcu w Poznaniu w dzielnicy Winogrady. Dwa pokoje okna wychodzące na zachód; widok na inne budynki. Standard wykończenia: Ściany - glazura; Podłogi - panele podłogowe; Okna - PCV; Parapety - PCV....
49,329000,3,58.62,1,Poznań ul. Dolina,!!! 0% PROWIZJI OD KUPUJĄCEGO !!! Oferuję 3- pokojowe mieszkanie z balkonem na 1- piętrze wyremontowanej kamienicy na Górnej Wildzie. Kamienica znajduje się w ścisłym centrum przy ul. Dolina nieopodal skrzyżowania ulic Chwiałkowskiego i Górna...
50,355000,3,64,1,Poznań Rataje,| Mieszkanie idealne dla rodziny z dziećmi lub jako inwestycja pod wynajem. Przestronne rozkładowe mieszkanie trzypokojowe o powierzchni 63 5 m2 położone na I piętrze w niskim bloku na osiedlu Stare Żegrze. Niezależny układ pomieszczeń. Pokój...
51,349000,2,55,1,Poznań Stare Miasto Winogrady ul. Zbożowa,Trzypokojowe dobrze utrzymane mieszkanie na parterze bloku z cegły na Winogradach. Główne atuty nieruchomości: • bliskość komunikacji miejskiej • cicha i spokojna okolica • bliskość terenów zielonych Nieruchomość złożona z: • pokój 18 m.kw •...
52,249000,2,46.76,1,Poznań Grunwald ul. Biedrzyckiego,Przytulne mieszkanie na parterze w willi miejskiej w Poznaniu w dzielnicy Grunwald. Dwa pokoje z aneksem kuchennym okna wychodzące na wschód zachód; widok na podwórko. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele podłogowe;...
53,274900,2,49.3,11,Poznań Stare Miasto Piątkowo,Polecam na sprzedaż przytulne i jasne mieszkanie dwupokojowe o powierzchni 49 3 m2. Główne atuty nieruchomości: • cicha i spokojna okolica • piekny widok • w pełni wykończony lokal Nieruchomość złożona z: • pokój 20 3 m.kw • sypialnia 9 m.kw...
54,345000,2,51,2,Poznań Wilda ul. Kosińskiego,Przestronne mieszkanie na drugim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Wilda. Dwa pokoje z aneksem kuchennym okna wychodzące na wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa płytki PCV;...
55,230767,2,47.3,1,Poznań Centrum,NAJWIĘKSZA OFERTA RYNKU PIERWOTNEGO W WIELKOPOLSCE !!! PONAD 50 INWESTYCJI DEWELOPERSKICH W POZNANIU I OKOLICACH W JEDNYM MIEJSCU !!! U NAS W BIURZE : - zapoznasz się z aktualną ofertą ponad 30 deweloperów - wspólnie z doradcą wybierzesz...
56,250000,1,35,3,Poznań Piątkowo ul. Ul. Teofila Mateckiego Obornicka,Polecam na sprzedaż mieszkanie o powierzchni 34 3m2 Własność z KW. Kuchnia w zabudowie ( meble na wymiar) wyposażona w sprzęty AGD- płyta piekarnik zmywarka lodówka okap. W mieszkaniu zostaje wszystko ( tak ja na zdjęciach) Przedpokój -...
57,195000,1,22,1,Poznań Jeżyce ul. Zwierzyniecka Gajowa,Kawalerka blisko Centrum wolna od zaraz w budynku Ataner przy ulicy Zwierzynieckiej! Mieszkanie położone na pierwszym piętrze składa się z pokoju z ankesem kuchennym łazienki oraz korytarza o powierzchnia 21 2 Okna PCV. Ściany wygładzone. Podłogi...
58,226000,3,45,3,Poznań Grunwald ul. Promienista,6 6 3 - 7 8 3 - 4 4 4 == == == == == 3 pokoje (16m2 9m2 6m2) + BALKON + piwnica. 226.000zł Osobna umeblowana kuchnia.   2 pokoje osobne trzeci przechodni mieszkanie po remoncie kilka lat temu. Blok: ocieplony i odświeżony. Okna...
59,600000,3,106,2,Poznań Jeżyce ul. Dąbrowskiego,Na sprzedaż piękne mieszkanie 3-pokojowe z balkonem o powierzchni 106 m2 położone na 2 piętrze w rewitalizowanej kamienicy o podwyższonym standardzie przy ulicy Dąbrowskiego. OPIS MIESZKANIA: Generalny remont mieszkania w 2010 roku. Wymieniono...
60,239000,2,37.9,3,Poznań Wilda ul. Kosińskiego,Wyjątkowe mieszkanie na Wildzie w dobrej lokalizacji! Główne atuty nieruchomości: • bliskość komunikacji miejskiej • w pełni wykończony lokal • po remoncie generalnym Nieruchomość złożona z: • pokój dzienny 17 m.kw • sypialnia 8 5 m.kw •...
61,319024,3,54.29,3,Poznań Stare Miasto Naramowice ul. Naramowice,Gorąco polecam trzypokojowe mieszkanie w cichej spokojnej okolicy na Naramowicach!!! OPIS MIESZKANIA: Mieszkanie trzypokojowe na Naramowicach o powierzchni 54 29 m2 znajduje się na 3 piętrze w niskim nowym bloku. Składa się z: salonu z wyjściem...
62,569000,4,113,1,Poznań Naramowice ul. Błażeja,NA SPRZEDAŻ wygodne przestronne mieszkanie idealne dla rodzin z dziećmi zlokalizowane w bezpośrednim sąsiedztwie Rezerwatu Żurawiniec wyposażone w nieduży ale własny taras i ogródek. Okolica cicha zatopiona w pięknej przyrodzie....
63,139000,1,31.2,3,Poznań Dębiec ul. Łozowa Kasztanowa,Okazja! Cena do negocjacji! Zapraszam do zapoznania się z ofertą sprzedaży mieszkania położonego przy ulicy Łozowej. Atrakcyjna lokalizacja zapewnia szybką i sprawną komunikację z centrum miasta. Bliskie sąsiedztwo centrów handlowych ...
64,225000,2,45,3,Poznań Grunwald,Polecam mieszkanie na sprzedaż: Lokalizacja Mieszkanie zlokalizowane jest w cichej i spokojnej okolicy w pobliżu dzielnicy domków jednorodzinnych. W najbliższym otoczeniu znajdują się wszelkie udogodnienia: szkoła przedszkole sklepy park ...
65,329000,3,70,8,Poznań Nowe Miasto ul. Orła Białego,Przedmiotem sprzedaży jest mieszkanie trzypokojowe o powierzchni ok.70 1m2 3 piętro w Poznaniu w dzielnicy RATAJE Osiedle Orła Białego. Drzwi wejściowe podwójne. Okna PCV. Ściany i sufity malowane farbami emulsyjnymi. Trzy pokoje wejście...
66,209000,2,42.5,9,Poznań Poznań-Grunwald ul. Izaaka Newtona,Polecam na sprzedaż 2-pokojowe mieszkanie o powierzchni 42 5m2 na ul.Newtona (os.Kopernika Grunwald). Lokal położony jest na 9 piętrze 11-piętrowego bloku z płyty. Budynek odnowiony i ocieplony nowa winda klatki po remoncie oddzielny/zamykany...
67,243162,2,42.66,1,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
68,643987,3,44.76,3,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
69,199000,2,37.9,1,Poznań,Polecam na sprzedaż mieszkanie położone w Poznaniu na dzielnicy Jeżyce przy ulicy Szpitalnej na osiedlu Nowy Świat. Mieszkanie składa się z: dwóch pokoi kuchni łazienki z wc i przedpokoju o łącznej powierzchni 37 90 m2. Do mieszkania...
70,168000,1,37,1,Poznań Wilda ul. Chłapowskiego,Mieszkanie położone jest na wysokim parterze kamienicy mieszkalnej. Dobrze zorganizowana Wspólnota Mieszkaniowa wykonała kompleksową rewitalizację tego obiektu. Budynek posiada nową elewację zewnętrzną wyremontowana sień główną nowy dach nowe...
71,305000,2,54,1,Poznań Naramowice ul. Błażeja,Na sprzedaż bardzo ładne i zadbane mieszkanie w bloku z 2006 roku przy spokojnej ulicy Błażeja sąsiadującej z rezerwatem Żurawiniec. Mieszkanie idealne dla osób szukających lokalu gotowego do zamieszkania nie wymaga żadnych nakładów finansowych....
72,355000,2,48,1,Poznań Piątkowo ul. Os. Stefana Batorego,Na sprzedaż 2-pokojowe mieszkanie o powierzchni 48 m2 na os. Stefana Batorego (nowa część osiedla granicząca z kampusem Morasko). Mieszkanie składa się z: - duży pokój - 17 m2 z balkonem o powierzchni 13 m2 z szafą suwaną o szer. 3 3 m -...
73,370496,3,66.16,1,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
74,325000,2,38,1,Poznań Nowe Miasto Rataje ul. Katowicka Milczańska,Polecam na sprzedaż słoneczne 2-pokojowe mieszkanie na spokojnym osiedlu Budimexu Zielony Taras przy ul. Milczańskiej. Metraż 38 m2. Układ: salon z aneksem kuchennym oddzielna sypialnia łazienka z toaletą korytarz . Mieszkanie na...
75,339000,3,58,1,Poznań Jeżyce Podolany Piątkowo,Lokalizacja: Podolany kompleks niskich budynków z 2009 roku ogrodzonych z wjazdem na posesję gdzie znajdują się miejsca parkingowe plac zabaw teren uporządkowany z zielenią. Budynki dwupiętrowe z halą garażową .Obok przystanki komunikacji...
76,159000,1,28,1,Poznań Swarzędz ul. Os. Zygmunta Iii Wazy,Zapraszamy do zapoznania się z ofertą kawalerki po kapitalnym remoncie. Mieszkanie mieści się na parterze niskiego bloku na os III Wazy w Swarzędzu. Składa się z przestronnego pokoju o pow. 16 5m2 otwarta kuchnia z oknem 4m2 łazienki 3 5m2 i...
77,185000,2,49.8,1,Poznań Nowe Miasto ul. Głuszyna,Polecam na sprzedaż 2-pokojowe mieszkanie w zielonej spokojnej dzielnicy Poznania - Głuszynie. Lokal zawiera wszystkie niezależne pokoje oddzielną kuchnię łazienkę . Dodatkowo do mieszkania przynależy balkon oraz piwnica. Mieszkanie znajduje...
78,470000,4,69,3,Poznań Naramowice,Polecamy!!! Przepiękne mieszkanie 69 m2 na 3 piętrze w północnej części Poznania. - 3 oddzielne pokoje w każdym pokoju roletki w oknach na podłogach deski - duży pokój z aneksem kuchennym z pełną zabudową ( płyta indukcyjna zmywarka ...
79,259000,2,41.6,1,Poznań Naramowice ul. Błażeja,Bardzo polecam ładne mieszkanie 2-pok. przy ul. Błażeja. Mieszkanie ma wielkość 41 6 m2. W dużym pokoju 16 2 m2 oraz w sypialni 10 7 m2 na podłodze są położone panele z kolei w kuchni około 6 m2 i łazience jest terakota. W łazience 4 m2 jest...
80,272021,2,46.7,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
81,329000,3,70,2,Poznań Wilda ul. Madalińskiego,| Kontakt w sprawie oferty: Cezary tel. 883 577 404 Polecam do sprzedania bardzo ładne dwupoziomowe trzypokojowe mieszkanie na ul. Madalinskiego w Poznaniu. Sypialnia na górnym poziomie na dolnym dwa pokoje aneks jadalny oraz łazienka....
82,245000,3,48.3,3,Poznań Grunwald ul. Bułgarska,Polecam Państwu na sprzedaż bardzo ładne i słoneczne mieszkanie które jest świeżo po remoncie. Mieszkanie znajduje się na 3 piętrze odświeżonego bloku składa się z trzech pokoi z czego dwa są niezależne jeden przechodni. W pokojach nie ma...
83,319000,3,66.5,7,Poznań Rataje ul. Os. Stare Żegrze,Weychan Nieruchomości Beata Długosz tel.: 516 427 512 poleca mieszkanie na Ratajach os. Stare Żegrze. Pow. 66 5 mkw 3 pokoje piętro 7/11. Rozkład pomieszczeń: - pokoje 22 12 i 9 mkw z największego wyjście na loggię; - oddzielna kuchnia z...
84,273000,3,79,14,Poznań Rataje Malta Starołęka Chartowo Śródk ul. Armii Krajowej,Przedmiotem sprzedaży jest 3- pokojowe mieszkanie położone na Ratajach na Osiedlu Armii Krajowej usytuowane na XIV piętrze w WYSOKIM BLOKU. Łączny metraż mieszkania wynosi 79m2.Układ pomieszczeń niezależny. Pokoje o powierzchni 25; 12 4 i 11 6...
85,209000,2,40,10,Poznań Grunwald Górczyn Ogrody Łazarz Centrum ul. Kordeckiego- Niezależy Układ Balkon!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Górczynie ( ul. Kordeckiego ). Na 39 50 m2 składają się dwa ustawne pokoje osobna...
86,364000,3,65,1,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki,Polecam na sprzedaż mieszkanie w nowo odrestaurowanej kamienicy w budynku oficynowym z początku XX wieku położonej w centrum Poznania. 0% PROWIZJI DLA KUPUJĄCEGO NA OFERTY DEWELOPERSKIE !!! możliwość wydzielenia dwóch lub trzech pokoi...
