Id,Rooms,SqrMeters,Floor,Location,Description
20,3,63,1,Poznań Nowe Miasto ul. Os. Rusa,Polecam na sprzedaż mieszkanie trzypokojowe o powierzchni 63m2 na Ratajach ( os. Rusa ). Mieszkanie usytuowane jest na parterze w dziesięciopiętrowym bloku. Mieszkania składa się z trzech pokoi ( 20m2 z wyjściem na loggie 12 12m2) kuchni 5m2 ...
21,1,29.2,1,Poznań Wilda Wilda ul. Umińskiego Władysława,BRAK WYNAGRODZENIA DLA BIURA ZE STRONY KUPUJĄCEGO! Zachęcam do zapoznania się z ofertą sprzedaży mieszkania na poznańskiej Wildzie. Mieszkanie składa się z pokoju kuchni z oknem korytarza garderoby oraz łazienki. Z pokoju wyjście na spory...
22,2,53.5,4,Poznań Sołacz ul. Sokoła,| Świetnie zlokalizowane przestronne czyste i zadbane mieszkanie dwupokojowe z dużym balkonem na IV piętrze w nowszym budownictwie - 1999 - Sołacz Poznań . Do mieszkania przynależy garaż rozliczany osobno (cena 27 tys zł do...
23,4,145.8,1,Poznań Naramowice ul. Błażeja,B. T. Bezpieczna Transakcja z Pośrednikiem 19 lat doświadczeń Sprzedaż Poznań Naramowice apartament 4 pokoje 145.8 mk Apartament dla kogoś kto ceni sobie spokój ciszę i dużą przestrzeń w bliskiej odległości od Centrum miasta Dane...
24,2,49.29,3,Poznań Grunwald ul. Chociszewskiego,Na sprzedaż FUNKCJONALNE 2-pokojowe mieszkanie położone w Poznaniu - Grunwald - ul. Chociszewskiego. Mieszkanie o powierzchni 49 29 mkw na trzecim piętrze w niskim bloku z cegły. ROZKŁAD MIESZKANIA: dwa niezależne pokoje (17 i 14 mkw) oddzielna...
25,2,36.5,3,Poznań Wilda ul. Kosińskiego Umińskiego 28 Czerwca Robocza,Atrakcyjne mieszkanie o powierzchni 36 m2 przy ul. Kosińskiego na Wildzie ! Mieszkanie położone na trzecim piętrze w rewitalizowanej kamienicy . Składa się z dwóch pokoi kuchni z aneksem łazienki oraz korytarza . Całość wyłożona dobrej jakości...
26,2,51.68,1,Poznań Grunwald ul. Smardzewska,mieszkanie na parterze w bloku mieszkalnym w Poznaniu w dzielnicy Grunwald. Dwa pokoje z aneksem kuchennym okna wychodzące na południe zachód. Standard wykończenia: Do lokalu przynależy: miejsce postojowe w garażu podziemnym. Opis...
27,2,46.07,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
28,3,74.11,1,Poznań Grunwald ul. Heweliusza 3,W sprzedaży oferujemy mieszkanie na terenie nowego osiedla na poznańskim Grunwaldzie u zbiegu ul. Palacza i Heweliusza. Na metraż mieszkania składają się 3 samodzielne pokoje w tym sypialnia z garderobą osobna kuchnia łazienka oraz...
29,2,33.93,2,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
30,2,43,6,Poznań Rataje Malta Chartowo Starołęka ul. Piastowskie,Na sprzedaż mieszkanie 2-pokojowe o powierzchni 43 m2 znajdujące się na 6 piętrze w pierwszej desce na osiedlu Piastowskim na Ratajach. Mieszkanie składa sie z większego pokoju (15 8 m2) mniejszego pokoju (14 4 m2) kuchni (4 6 m2) łazienki...
31,2,34,3,Poznań ul. Jana Umińskiego,KAMIENICA PO REWITALIZACJI Mieszkanie znajduje się w kamienicy z 1910r. na 3 parterze piętrze Budynek 4 piętrowy. Stan techniczny lokalu - stan deweloperski drewniana podłoga drzwi drewniane. Ogrzewanie miejskie. LOKALIZACJA: Mieszkanie...
32,2,41,4,Poznań Jeżyce ul. Kochanowskiego,Jasne mieszkanie na czwartym piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Jeżyce. Dwa pokoje okna wychodzące na wschód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele podłogowe terakota; Okna -...
33,2,37.6,1,Poznań Grunwald ul. Promienista,Mieszkanie dostępne w ramach MDM na rynku wtórnym. Szacunkowe kwoty dopłat: a) singiel 20 000 PLN - wówczas cena 1 m2 wyniesie 4315 PLN/m2 b) małżeństwo z jednym dzieckiem 30 000 PLN - wówczas cena 1 m2 wyniesie 4049 PLN/m2 W ofercie...
34,3,59.1,1,Poznań Piątkowo Stare Miasto ul. Os. Wł. Łokietka,Super oferta! Polecam na sprzedaż bardzo ładne 3 pokojowe mieszkanie o powierzchni 59 10 m2 położone na osiedlu Władysława Łokietka w Poznaniu. Jest to spółdzielcze własnościowe prawo do lokalu bez księgi wieczystej. Lokal znajduje się na...
35,3,66.3,1,Poznań Łazarz ul. Chociszewskiego,Biuro Nieruchomości Credo poleca na sprzedaż mieszkanie 3-pokojowe o powierzchni 66 3 m2 usytuowane na wysokim parterze w niskim bloku z cegły zlokalizowane na ul. Chociszewskiego Łazarz. Do mieszkania przynależy piwnica. Dookoła budynku dużo...
36,3,122.5,3,Poznań Grunwald/Łazarz ul. Śniadeckich,Rozkładowe przestronne mieszkanie na trzecim piętrze w kamienicy w Poznaniu w dzielnicy Grunwald/Łazarz. Trzy pokoje okna wychodzące na północ wschód; widok na inne budynki. Standard wykończenia: Ściany - boazeria gładź gipsowa; Podłogi -...
37,1,31.52,2,Poznań Stare Miasto ul. Dominikańska,Zapraszamy do zapoznania się z nową inwestycją firmy Jakś-Bud! Dominikańska 9 oferuje 52 luksusowe apartamenty o powierzchni od 31 m2 do ponad 200 m2. W cenie już od 7.960 zł./m2 brutto. Ulica Dominikańska znajduje się w samym sercu Poznania i...
38,3,61,4,Poznań Jeżyce,ATRAKCYJNA OFERTA! 3 pokoje 61m2 wysoki standard cegła balkon SUPER lokalizacja centrum Jeżyc. Pełna własność z księgą wieczystą. Na sprzedaż nowe słoneczne trzypokojowe mieszkanie w bloku z cegły. Rok budowy 2000. Teren ogrodzony....
39,1,30,2,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 29m2 na 2 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w bezpośredniej...
40,3,53.02,2,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
41,2,53,1,Poznań ul. Cysterek,Mieszkanie z widokiem na Wartę? Lubisz spacery na łonie natury śpiew ptaków i powiew świeżego powietrza? Potrzebujesz odpoczynku od miejskiego zgiełku? Mamy dla Ciebie ofertę w prawdopodobnie najpiękniejszym miejscu na Świecie! Mieszkanie...
42,1,24,2,Poznań Winogrady ul. Hawelańska,Mam do odsprzedania okazyjnie jedną z ostatnich kawalerek w obecnie budowanym kompleksie Nowe Winogrady przy ulicy Hawelańskiej (tylko 4 km od Starego Rynku) Jest to II etap z planowanym zakończeniem w kwietniu 2016r. Nowe Winogrady zlokalizowane...
43,2,62,2,Poznań Jeżyce Podolany,Mieszkanie w nowoczesnym budownictwie. Na zamkniętym osiedlu. Mieszkanie 2-pokojowe o pow. 62 m2. Główne atuty nieruchomości: • doskonała komunikacja z centrum • cicha i spokojna okolica • bliskość terenów zielonych Nieruchomość złożona z: •...
44,5,119.68,5,Poznań Jeżyce ul. Poznańska 1-3,NOWY ADRES NA JEŻYCACH: POZNAŃSKA 3 POZNAŃSKA 3 to nowo budowana inwestycja mieszkaniowa u zbiegu ulic Kościelnej i Poznańskiej. Inwestycja zlokalizowana jest w centrum miasta w historycznej dzielnicy Jeżyce z bezpośrednim dostępem do...
45,3,72,4,Poznań Jeżyce ul. Mylna,Polecam na sprzedaż piękne duże mieszkanie 3pokojowe w wysokim standardzie i świetnej lokalizacji przy ul. Mylnej! Lokal położony jest w nowym budownictwie w osiedlu zamkniętym. Na 72m2 składają się 3 niezależne pokoje (24 12 12) - z jednego...
46,5,163,1,Poznań Stare Miasto Centrum ul. Podgórna,KUPUJĄCY NIE PŁACI PROWIZJI! MIESZKANIE W SAMYM CENTRUM MIASTA! IDEALNE NA BIURO LUB DO ZAMIESZKANIA! Na sprzedaż 5-pokojowe mieszkanie o powierzchni 163m2 usytuowane na 1 piętrze kamienicy zlokalizowanej w CENTRUM (100m od Starego Rynku) przy...
47,2,40.55,5,Poznań Winogrady ul. Hawelańska,Nieruchomości Mieszkania Nieruchomości Mieszkania
48,2,45.85,2,Poznań Winogrady ul. Hawelańska Lechicka,0% prowizji od Kupującego! Polecam na sprzedaż mieszkania na nowym osiedlu w Poznaniu. Inwestycja to połączenie ciekawej architektury z funkcjonalnym i przestrzennym wnętrzem. Mieszkania od 25m2 do 126m2 z ogródkami lub balkonami/tarasami....
49,1,29.3,6,Poznań ul. Turkusowa,O G Ł O S Z E N I E O L I C Y T A C J I N I E R U C H O M O Ś C I Komornik Sądowy przy Sądzie Rejonowym Poznań - Grunwald i Jeżyce w Poznaniu Piotr Tomaszewski- kancelaria komornicza: Poznań ul. J. Chociszewskiego 21/6 zawiadamiama że w dniu...
50,3,59.75,2,Poznań Grunwald ul. Barwicka 14,Mieszkanie 59 75m2 II piętro 3 pokoje. Inwestycja zakończona w 2014r nowoczesna architektura (drewno metal duże przeszklenia). Zachodnia część Poznania na Osiedlu Bajkowym. Stan deweloperski; salon z aneksem kuchennym (kuchnia wyraźnie...
51,2,44.7,1,Poznań Dębiec ul. Czechosłowacka,Dwupokojowe mieszkanie -pokoje niezależne- w niskim bloku z cegły z 1950r. Budynek jest ocieplony i otynkowany. Pow. mieszkania 44 7mkw układ mieszkania północ -(kuchnia i mały pokój )i południe - duży pokój. Balkon tzw. papieski - czyli są drzwi...
52,2,38,1,Poznań Winogrady ul. Kosmonautów,Biuro Obrotu Nieruchomościami MD Broker zaprasza do zapoznania się z ofertą: Mieszkanie po remoncie ściany gładź szpachlowa. Okna drewniane szczelne- po wymianie na nowe właściciel mieszkania otrzyma zwrot części wydatku. Pokoje i...
53,3,60.19,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
54,3,97,3,Poznań Centrum ul. Ogrodowa,Przytulne mieszkanie na trzecim piętrze w kamienicy w Poznaniu w dzielnicy Centrum. Trzy pokoje okna wychodzące na północ południe; widok na drzewa. Standard wykończenia: Ściany - gładź gipsowa; Podłogi - panele podłogowe parkiet ...
55,2,40,1,Poznań Wilda,Okazja!! Polecam na sprzedaż mieszkanie dwupokojowe w rewitalizowanej kamienicy na Wildzie. W okolicy znajdują się nowe inwestycje deweloperskie przystanki komunikacji miejskiej sklepy przychodnia oraz szkoły. Lokal usytuowany na parterze ...
56,2,40.5,4,Poznań Poznań-Grunwald ul. Jana Matejki,Oferta sprzedaży mieszkania o łącznej powierzchni 40 5m2 na 4 piętrze rewitalizowanej zabytkowej kamienicy położonej przy ulicy Matejki jednej z najelegantszych ulic śródmieścia Poznania złożonej głównie z secesyjnych kamienic w...
57,2,64.9,3,Poznań Wilda ul. W. Sikorskiego,Przytulne mieszkanie na trzecim piętrze w rewitalizowanej kamienicy w Poznaniu w dzielnicy Wilda.Mieszkanie bardzo słoneczne co znacząco wpływa na koszty eksploatacyjne. Dwa pokoje okna wychodzące na południe zachód; widok na inne budynki....
58,1,36.92,3,Poznań Łazarz ul. Kasprzaka 13,Na tyłach szkoły muzycznej pomiędzy ulicami Kasprzaka i Głogowską powstaje niepowtarzalny projekt INVENTIA który harmonijnie łączy historię i dzień dzisiejszy. Znakomite położenie w bezpośrednim sąsiedztwie Międzynarodowych Targów...
59,3,53,4,Poznań Winogrady ul. Os. Przyjaźni Niski Blok,Biuro Nieruchomości Credo poleca na sprzedaż mieszkanie 3-pokojowe o powierzchni ok 53 m2 usytuowane na 4 piętrze w niskim bloku z lat 80 roku zlokalizowane na Os. Przyjaźni Poznań. Do mieszkania przynależy piwnica. Dookoła budynku dużo zieleni ...
60,4,160,3,Poznań Jeżyce ul. Mickiewicza,Rozkładowe przestronne mieszkanie na trzecim piętrze w bloku mieszkalnym w Poznaniu w dzielnicy Jeżyce. Cztery pokoje okna wychodzące na północ wschód zachód; widok na inne budynki. Standard wykończenia: Ściany - gładź gipsowa; Podłogi -...
61,1,34.24,1,Poznań Grunwald ul. Knapowskiego 25,Lokal mieszkalny numer 6 o powierzchni 34 24 m2 składa się z pokoju połączonego z kuchnią łazienki i korytarza. Mieszkanie posiada balkon. Mieszkanie jest położone na I piętrze od strony południowo-wschodniej. Opis wykończenia i wyposażenia:...
62,3,62,3,Poznań Jeżyce ul. Nowy Świat,Kupując z pośrednikiem - kupujesz bezpiecznie z ubezpieczeniem OC od transakcji. Zapraszam na prezentację mieszkania położonego w prestiżowej dzielnicy Poznania -Ogrody.Super lokalizacja!!!! Mieszkanie o powierzchni 62m2 IIIp/niski blok z cegły...
63,5,150,3,Poznań Stare Miasto Centrum,Mieszkanie w kamienicy dwie przecznice od Starego Browaru. Mieszkanie znajduje się na Starym Mieście Główne atuty nieruchomości: • bliskość komunikacji miejskiej • bez wykończeń do indywidualnej aranżacji • po remoncie instalacji Nieruchomość...
64,2,43,2,Poznań Centrum,Polecam zakup atrakcyjnego mieszkania w nowszym budownictwie o powierzchni 43m 2 mieszczące się na drugim piętrze na Jeżycach przy ul. Mylnej. Lokal dwupokojowy z balkonem oraz garażem w hali podziemnej. Mieszkanie po remoncie (malowane wymiana...
65,1,33,1,Poznań Sołacz ul. Sokoła,Polecam na sprzedaż mieszkanie położone na pierwszym piętrze w nowym budownictwie na ulicy Sokoła. Budynek ocieplony położony w spokojnej okolicy blisko Parku Sołackiego. Kawalerka o pow. 33m2 składa się z przestronnego i bardzo słonecznego...
66,3,83,1,Poznań ul. Antoniego Małeckiego,Przedstawiam wyróżniające się przestronne wykończone w wysokim standardzie mieszkanie na poznańskim Łazarzu. To 3-pokojowe mieszkanie mieści się na pierwszym piętrze w pięknej odnowionej kamienicy przy ulicy Małeckiego. Na powierzchnię 82 50m2...
67,2,38,3,Poznań Wilda Dębiec ul. Łozowa,DĘBIEC. Atrakcyjna zielona południowa dzielnica Poznania o ponad pięćdziesięcioletniej ustalonej infrastrukturze z bardzo dogodnym dojazdem do Centrum miasta oraz dostępem do autostrady. Tutaj prezentujemy na sprzedaż mieszkanie dwupokojowe z...
68,2,42.4,2,Poznań Rataje ul. Bnińska,Willa Komandoria to wymarzone miejsce do życia łączące w sobie wszystkie zalety mieszkania w mieście z urokami zielonych przedmieść. Inwestycja położona jest przy ul. Bnińskiej w Poznaniu skąd krok na Maltę gdzie z całą rodziną można aktywnie...
69,4,3,2,Poznań Winogrady,Winogrady - niski blok 65m2 312tys. Adman 697-100-833
70,1,42,1,Poznań Centrum ul. Grunwaldzka,Mieszkanie -WLASNOSC Z KW w centrum .Sklada się z pokoju w kwadracie25 m lazienki w kafelkach ok.3 m kuchni z oknem (kafelki)ok.7m.W pokoju na podłodze parkiet debowy do odswiezenia na scianach tapety.Ogrzewanie -co woda-bojler.Nowe okna PCV w...
71,3,54.43,1,Poznań Nowe Miasto ul. Smolna 13 D,Nieruchomości Mieszkania Nieruchomości Mieszkania
72,3,113.7,1,Poznań Łazarz,Na sprzedaż bardzo ciekawe mieszkanie o łącznej pow. 113 70 m2 usytuowane na 1 piętrze oficyny bardzo dobrze utrzymanej kamienicy w samym sercu miasta ul. Głogowska nieopodal Targów Poznańskich. Powierzchnię tworzą: >3 przestronne...
73,3,67,11,Poznań Żegrze Rataje Starołęka ul. Stare Żegrze,Polecamy na sprzedaż 3-pokojowe przestronne mieszkanie na Ratajach. Lokal mieści się na 11 piętrze w wysokim bloku z windą. Na powierzchnię 67 m2 składają się 3 niezależne pokoje (salon z wyjściem na loggię) jasna kuchnia łazienka WC i...
74,4,63.8,3,Poznań Nowe Miasto Chartowo ul. Milczańska,Luksusowe mieszkanie dwupoziomowe na osiedlu strzeżonym w sąsiedztwie Malty. Główne atuty nieruchomości: • doskonała komunikacja z centrum • bliskość komunikacji miejskiej • cicha i spokojna okolica Nieruchomość złożona z: • pokój 19 m.kw •...
75,2,45,2,Poznań Jeżyce ul. Botaniczna,Na początku 2014 r. na poznańskich Ogrodach w jednym z najbardziej malowniczych miejsc w Poznaniu rozpoczeła się budowa Osiedla Botaniczna. Największym atutem Osiedla Botaniczna jest jego lokalizacja zapewniająca zarówno bliskość terenów...
76,2,34.06,1,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
77,2,39.87,1,Poznań Wilda ul. Rolna 37 I 39,Nieruchomości Mieszkania Nieruchomości Mieszkania
78,2,50.5,1,Poznań Grunwald ul. Kamiennogórska,Mieszkać wśród spokojnej zieleni czy dać się porwać rytmowi miasta? Trudny wybór ale nie musi Cię dotyczyć jeśli zamieszkasz na Młodym Grunwaldzie! Poznaj miejsce dzięki któremu skorzystasz z wygód miasta i ciszy Lasku Marcelińskiego! Zrób...
79,2,33.05,4,Poznań Wilda Dębiec ul. Konarowa,| MIESZKANIE IDEALNE JAKO INWESTYCJA POD WYNAJEM! Polecam do sprzedaży mieszkanie 2-pokojowe położone na IV piętrze w niskim IV-piętrowym bloku na pograniczu Wildy i Dębca w bardzo bliskiej odległości od pętli tramwajowej na Dębcu....
80,2,37,3,Poznań Sołacz Winogrady Jeżyce Centrum Ogrody Gr ul. Sokoła - Po Remoncie Polecam!!!,BEZPIECZNA TRANSAKCJA JEDYNIE Z DOŚWIADCZONYM I LICENCJONOWANYM POŚREDNIKIEM!!! 100 % SATYSFAKCJI Z ZAKUPU!!! Polecam do zakupu mieszkanie 2 pokojowe położone na Sołacz ( ul. Sokoła ). Na 37 m2 składają się dwa ustawne pokoje ( w tym jeden z...
81,1,1,3,Poznań Grunwald ul. Smardzewska,Oferujemy do sprzedaży mieszkanie w kilkuletnim bloku przy ul. Smardzewskiej na Grunwaldzie. Atrakcyjna lokalizacja świetne połączenie komunikacyjne z centrum miasta - blisko do tramwaju na Grunwaldzką w pobliżu Lidl Biedronka poczta tuż...
82,2,48.62,5,Poznań Piątkowo ul. Kurpińskiego,Nieruchomości Mieszkania Nieruchomości Mieszkania
83,2,42.5,3,Poznań Przeźmierowo ul. Rynkowa,Komfortowo wykończone mieszkanie w nowym budynku w Przeźmierowie. W cenie miejsce postojowe w garażu podziemnym oraz komórka lokatorska. Mieszkanie gotowe do zamieszkania bez żadnych nakładów finansowych. Salon z aneksem kuchennym oraz...
84,2,38.3,1,Poznań Stare Miasto ul. Os. Pod Lipami,Polecam na sprzedaż 2 pokojowe mieszkanie o dobrym standardzie (38m2)z balkonem typu loggia po generalnym remoncie. Własnościowe z księgą wieczystą. Funkcjonalny układ pomieszczeń. Nadaje się do natychmiastowego zamieszkania. Standard i...
85,2,36.35,1,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
86,2,38,3,Poznań Grunwald Jeżyce ul. Ul. Bułgarska,DWUPOKOJOWE NIEPRZEJŚCIOWE WYREMONTOWANE MIESZKANIE 38 M.KW GRUNWALD UL. BUŁGARSKA NISKI BLOK 225 000 !!! MIESZKANIE IDEALNE DO ZAMIESZKANIA I NA WYNAJEM BLISKO UAM I AM ! Oferuję na sprzedaż nieprzejściowe dwupokojowe mieszkanie o pow.38m.kw...
87,2,56,3,Poznań Grunwald ul. Rycerska,Polecamy na sprzedaż Mieszkanie o pow. 56 m2 z Księgą Wieczystą bez obciążeń położone w Poznaniu na Grunwaldzie ul. Rycerska na III piętrze budynku IV piętrowego. Konstrukcja budynku tradycyjna murowana z pełnej cegły.Skład mieszkania:- dwa...
88,3,74,4,Poznań Stare Miasto Piątkowo ul. Os. Zygmunta Starego,Polecam na sprzedaż mieszkanie na 4 piętrze słoneczne i przestronne. Kompleks niskich zabudowań plac zabaw zieleń w pobliżu sklep Tesco apteka bank przedszkole szkoła pływalnia Uniwersytet Poznański Morasko autobus szybki tramwaj....
89,3,50.92,5,Poznań Winogrady ul. Hawelańska,Osiedle Nowe Winogrady zbudowaliśmy w północnej części Poznania w sąsiedztwie największego w mieście parku Cytadela i terenów rekreacyjnych nad Wartą. Pasjonaci historii mogą zwiedzać pobliskie stare forty z muzeami militariów. Lokalizacja...
90,2,47.42,2,Poznań Górczyn ul. Knapowskiego,Knapowskiego 25 to kameralny budynek składający się z 4 kondygnacji w tym 17 mieszkań oraz jeden lokal usługowy. Na parterze znajdują się garaże z indywidualnymi wjazdami. Garaże dostępne są również na zewnątrz zaś na terenie działki 9 miejsc...
91,1,33,1,Poznań Wilda Łazarz Grunwald ul. Kolejowa,Polecam na sprzedaż kawalerkę w z rewitalizowanej kamienicy. Podstawowe informacje: odległość od Dworca PKP ? 300m odległość od przystanku tramwajowego ? 400m odległość od Centrum Targowego (MTP) ? 400m 50 m obok ? parking strzeżony w...
92,2,38.9,2,Poznań Górczyn,Polecamy atrakcyjną ofertę sprzedaży mieszkań w stanie deweloperskim. 0 zł podatku PCC 0 % prowizji Bieżąca oferta obejmuje trzypokojowy lokal o powierzchni użytkowej 38 9m2 położony na drugim piętrze osiedla budynków wielomieszkaniowych w niskiej...
